Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Bodyweight Box Pistol Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,Plyo Box,1,Single Leg Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Barbell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Stability Ball Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Stability Ball,1,None,0,Supine,No Arms,Continuous,No Grip,Other,Feet Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Unsorted*
Slider Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders,2,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Unsorted*
Bodyweight Hamstring Walkout,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Unsorted*
Slider Dumbbell Goblet Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Dumbbell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Dragon Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Single Arm Dumbbell Front Rack Ipsilateral Cossack Squat to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Combo Exercise,Knee Dominant,Vertical Push,,Frontal Plane,Sagittal Plane,,Full Body,Push,Compound,Ipsilateral,Bodybuilding
Stability Ball Single Leg Hamstring Curl,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Stability Ball,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,Foot Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Unsorted*
Barbell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Single Leg Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Unsorted*
Barbell Zombie Walking Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Walking,Double Arm,Continuous,No Grip,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Walking Lunge,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Walking,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Squat Clean,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Olympic Weightlifting
Single Arm Landmine Split Clean to Split Jerk,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Landmine,1,None,0,Staggered Stance,Single Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Single Arm Landmine Hack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Standing,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
Alternating Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Standing,Single Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
Single Arm Landmine Half Kneeling Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
Single Arm Landmine Tall Kneeling Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Tall Kneeling,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
Single Arm Landmine Meadows Row,Novice,Back,Latissimus Dorsi,,,Landmine,1,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Landmine Z Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Seated Floor,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Barbell Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Seated Floor,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Landmine Half Kneeling Oblique Twist,Intermediate,Abdominals,Obliques,,,Landmine,1,None,0,Half Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Straight Bar Seated Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,Bench (Flat),1,Seated,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Seated Concentration Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,Bench (Flat),1,Seated,Single Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Seated Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Alternating,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Single Arm Suspension Bicep Curl,Intermediate,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
Stability Ball Single Arm Plank,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Single Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Stability Ball Feet Elevated Single Arm Plank,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Single Arm,Continuous,Forearm,No Load,Feet Elevated,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Landmine Zercher Skater Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Single Leg Standing,Double Arm,Continuous,No Grip,Zercher,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Single Arm Landmine Front Rack Contralateral Reverse Lunge to Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Landmine,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Combo Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Contralateral,Unsorted*
Landmine Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
Landmine Romanian Deadlift,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Landmine Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Single Leg Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Landmine Tall Kneeling Oblique Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Landmine,1,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Landmine Feet Elevated Russian Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Landmine,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Single Arm Landmine Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Cable Tall Kneeling Overhead Tricep Extension,Novice,Triceps,Triceps Brachii,,,Cable,1,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Cable Rope Bench Skull Crusher,Novice,Triceps,Triceps Brachii,,,Cable,1,Bench (Flat),1,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Barbell Power Clean to Overhead Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting
Single Arm Dumbbell Seated Cuban Press,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,Bench (Flat),1,Seated,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Unsorted*
Landmine Zercher Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Overhead Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Alternating Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Knee Over Toe Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Knee Over Toe Split Squat,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Barbell Overhead Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Barbell Single Leg Bent Knee Bicep Curl,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell,1,None,0,Single Leg Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Slider Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Sliders,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Wall Facing Handstand,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Bodyweight Freestanding Handstand,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Suspension Atomic Push Up,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Suspension Trainer,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
Suspension Pike,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Suspension Side Plank Reach Through,Advanced,Abdominals,Obliques,Rectus Abdominis,,Suspension Trainer,1,None,0,Side Plank,Single Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Cocoon Crunch,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Ab Wheel Standing Rollout,Expert,Abdominals,Rectus Abdominis,,,Ab Wheel,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Fire Hydrant,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1,None,0,Quadruped,No Arms,Continuous,Flat Palm,Other,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Cable Tall Kneeling Pull Through,Novice,Glutes,Gluteus Maximus,,,Cable,1,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Stability Ball Bent Knee Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Bilateral,Bodybuilding
Bodyweight Bench Bent Knee Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,,,Bodyweight,1,Bench (Flat),1,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Bilateral,Bodybuilding
Parallette Tuck L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,Tuck L Sit,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette Close Grip Push Up,Novice,Triceps,Triceps Brachii,Pectoralis Major,,Parallette Bars,1,None,0,Prone,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Feet Elevated Close Grip Push Up,Intermediate,Chest,Triceps Brachii,Pectoralis Major,,Parallette Bars,1,Bench (Flat),1,Prone,Double Arm,Continuous,Pronated,No Load,Feet Elevated,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Single Leg L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,L Sit,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Stability Ball Bottoms Up,Intermediate,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Supine,No Arms,Continuous,No Grip,Other,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Windshield Wiper,Novice,Abdominals,Obliques,Rectus Abdominis,,Stability Ball,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Tall Kneeling Balance,Intermediate,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Tall Kneeling,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Balance
Stability Ball Oblique Crunch,Beginner,Abdominals,Obliques,,,Stability Ball,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Elbow Plank,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Forearm,Other,No Elevation,Single Exercise,Anti-Extension,,,Frontal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
